address,latitude,longitude,date,width,length,depth,category
인천광역시 남동구  석정로 간석역북광장 사거리,,,2018-06-03,0.3,0.3,1,하수관거 시공불량
세종특별자치시 -  금남면 부용리 613-6,,,2018-06-04,4,3.5,3.5,상수관로 파손
경기도 부천시 중동 679-5번지,37.496769,126.7617314,2018-06-04,0.5,2,0.3,하수관로 노후화
경기도 부천시 상동 420-13번지,37.4932158,126.7594901,2018-06-04,3,1,0.6,하수관로 노후화 
광주광역시 광산구 흑석동 506번지,35.1843894,126.8101855,2018-06-05,1.8,1.8,1.2,하수관로 파손
전라남도 여수시 공화동 1184-22 도,34.747398,127.7415701,2018-06-05,1,1,0.1,타 지하시설물 파손
인천광역시 중구  서해대로410번길 39 앞 도로,,,2018-06-05,0.2,0.2,1,하수관로 시공불량
충청북도 청주시 서원구 모충동 412-2번지,36.6286838,127.4770895,2018-06-06,0.5,0.5,1,하수관로 노후화
충청북도 청주시 서원구 분평동 1385,36.6066251,127.4891749,2018-06-06,0.5,0.5,1,하수관로 시공불량
울산광역시 동구  대송로 12 (생생마트 앞),,,2018-06-07,1,1,1.5,하수관거 파손
충청북도 청주시 서원구 분평동 249-26번지,36.6120464,127.4836197,2018-06-07,0.5,0.5,2,하수관로 시공불량
전라남도 장성군 황룡면 와룡리 36-18,35.2709786,126.766062,2018-06-07,2,2,0.4,원인미상
인천광역시 서구 백석동 54 한들로 교차점 부근,37.576931,126.6745791,2018-06-07,1,1,1,하수관로 시공불량
경기도 안양시 동안구 호계동 1022-5,37.3723316,126.9598541,2018-06-07,1,1,1,하수관로 파손
부산광역시 부산진구  신천대로 246 메리움 아파트 옆 이면도로,,,2018-06-08,1.6,1.5,1.5,타 지하시설물 시공불량
경기도 용인시 기흥구 언남동 356번지,37.2943051,127.1182177,2018-06-08,0.3,0.4,1,맨홀 파손
충청북도 청주시 상당구 방서동 210-3,36.6046926,127.5020354,2018-06-10,1,1,0.5,우수관로 파손
충청북도 청주시 서원구 사창동 149-11번지,36.6344682,127.45715,2018-06-11,0.3,0.3,0.5,하수관로 시공불량
경기도 부천시 심곡2동 380-11,37.4871548,126.7809224,2018-06-11,0,0,0.5,맨홀 노후화
광주광역시 광산구 비아동 66-62번지,35.2204669,126.8255149,2018-06-12,1.2,0.8,1,하수관로 파손
충청북도 청주시 청원구 우암동 333-11,36.6459847,127.4839209,2018-06-12,2,3,2,하수관로 파손
경기도 수원시 팔달구 화서동 212-2번지 앞,37.2812511,126.9964956,2018-06-13,0,0,1.1,하수관로 파손
충청북도 청주시 흥덕구 가경동 1386,36.627706,127.4329326,2018-06-14,0.5,0.5,0.5,하수관로 파손
경상북도 영주시 영주동 426-2번지 앞,36.8211709,128.6206642,2018-06-14,1,1,1,우수관로 파손
경기도 수원시 팔달구 인계동 323-5번지 앞,37.275595,127.032038,2018-06-14,0,0,1.2,하수관로 파손
강원특별자치도 원주시  중앙로40 민생반점 앞,,,2018-06-15,3,4.5,1.2,지반 시공불량
인천광역시 중구  축항대로118번길 135,,,2018-06-15,0.9,0.5,1,하수관로 파손
강원특별자치도 원주시 무실동 144 해장국집 앞,37.3233714,127.9271979,2018-06-18,2.7,3,1.2,지반 시공불량
인천광역시 부평구  경인로 760 부평삼거리역 2번출구,,,2018-06-18,0.5,1,1,하수관로 노후화
경기도 남양주시 화도읍 묵현리 435-8,37.657092,127.2752309,2018-06-18,0,0,1,우수관로 파손
부산광역시 연제구  배산로 24-1,,,2018-06-19,1,1,0.8,지반 시공불량
광주광역시 광산구 운남동 769-4번지,35.1781391,126.8204384,2018-06-19,0.7,0.6,1,하수관로 파손
경기도 동두천시 안흥동 121-1,37.9334622,127.0419584,2018-06-19,0.7,0.8,1,지반 시공불량
광주광역시 광산구 도산동 662-6번지,35.1265235,126.7929267,2018-06-20,0.5,0.7,1.1,하수관로 파손
